         128047 function calls (127849 primitive calls) in 0.920 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/encodings/idna.py:147(encode)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:913(parse)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:203(parse_headers)
        1    0.000    0.000    0.001    0.001 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/ssl_.py:250(create_urllib3_context)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:895(<listcomp>)
        2    0.000    0.000    0.002    0.001 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/_collections.py:92(clear)
        3    0.000    0.000    0.074    0.025 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/utils.py:730(should_bypass_proxies)
       40    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      9/6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py:461(_get_literal_prefix)
        6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/enum.py:841(__and__)
        1    0.000    0.000    0.541    0.541 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/connectionpool.py:357(_make_request)
       18    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/_policybase.py:293(header_source_parse)
       32    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:286(tell)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x100f15e60}
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:1264(_send_request)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:458(parse_ns_headers)
        7    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/sessions.py:50(merge_setting)
       28    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
      194    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       10    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/ssl.py:460(set_alpn_protocols)
        1    0.000    0.000    0.392    0.392 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:299(begin)
       22    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/_collections.py:156(__getitem__)
        7    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/utils.py:314(to_key_val_list)
       25    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/structures.py:53(__getitem__)
        1    0.000    0.000    0.835    0.835 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/sessions.py:470(request)
        8    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
    42/10    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/abc.py:141(__subclasscheck__)
       23    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/threading.py:240(__enter__)
        1    0.000    0.000    0.391    0.391 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/client.py:266(_read_status)
       21    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/feedparser.py:78(readline)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:190(_hostinfo)
        4    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/util/url.py:274(_normalize_host)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:1593(make_cookies)
        1    0.000    0.000    0.000    0.000 /Users/avivien/Library/Python/3.7/lib/python/site-packages/requests/models.py:604(__init__)
       48    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py:160(__len__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/contextlib.py:116(__exit__)
       27    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/_policybase.py:281(_sanitize_header)
       12    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py:154(hostname)
       31    0.000    0.000    0.216    0.007 /Users/avivien/Library/Python/3.7/lib/python/site-packages/urllib3/response.py:555(stream)
        3    0.000    0.000    0.073    0.024 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/request.py:2620(proxy_bypass_macosx_sysconf)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:612(request_host)
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/http/cookiejar.py:939(set_ok)
